01400ex	0
05fubu	0
11771	0
11thStreet	0
1marie	0
200067	2
2bapeanut	0
2thdr	0
300ex	2
3db	3
3rdalarm	3
5397	0
5StarWebs	3
77chelle	0
a-mako	0
a0077	3
a072044	0
a0865251	0
a10er	3
a1113	0
a12wqer3	3
a1lostnomad	3
a5g1a4	0
a775349	0
a7926	3
a7n7man	0
a9384792374423	0
aa1234aa	2
aa9010	0
aaava	0
aae2006	0
aagirl1212000	3
aagitch	0
aalokmody	0
aamirfazil	3
aamitabhsharma	3
aanalouei	0
aaquino	2
aarney	0
aarondahl	3
aarondixon	3
aaronjohnathon	0
aaronleventhal	2
aaronrox2	0
aaronsegal	0
aaron_d	0
aarumugham	0
aattitude	0
aa_stine	3
ab0tj	3
ab4d	0
abackus	3
abacus321	2
aban123	3
abanker	3
abateg429	0
abazur	2
abbi	3
abbottsoft	0
abbraxxes	0
abbsio	0
abcdmm	0
abcxk	3
abdelrahman	3
abeachmom32	3
abegolf	3
aberger	0
abertram	0
abfinvail	0
abhatnag	0
abhayk	0
abillmann36	0
abizeemom	0
ablj2005	0
abmarsh	0
abmustaf	3
abolinger	0
abolt3006	3
aboverubiesmom	3
abreaz	0
abrelaxing	0
abrimah	3
abs750	0
absaroke	0
abugigi	0
aburns0026	0
abwhit	0
abyss21	0
academic1	0
academic838	3
acamp	0
acampmom	3
acao	0
acba	0
ace1110	0
ace3502	0
acearle2	0
aceb	3
aced411	0
acerbaby	0
acerob1	0
achaffee	0
ACKMA228	0
aclarke	0
aclu4u	0
acmepinions	0
acortinas	0
acpaulley	3
acproductrvw	0
acqa_shaker	3
acrackl	3
acruxksa	0
acsanti	3
acsuppa	0
actfree	0
Action_Snark	0
activelyx	3
activeone07	3
acuratl	0
acurrie8934945	3
acutia	0
acwilson	0
acyclone99	0
acyganiak	3
aczer	0
ac_mom	0
adachota	3
adafam	0
adam728	0
adamarket	3
adamator	0
adamb18	0
adambomb_12	3
adamf663	3
adamjet	2
adammom	3
adamsim21	3
Adam_Comtois	0
adam_g	0
adam_peterson	3
adatole	3
adavis0119	0
adawa	0
adawong	3
adawson21	0
addvanced	3
addy_s	0
adelee_atuke	0
adelinahay	0
adeniso	0
adepttech	3
aderswithkids	3
adgooroo	3
adhack	0
adicarter	0
adicos	0
adiliber	0
adinham	0
adiosmio	3
adipate	0
adirondackee	3
Adis	2
aditya_h_g	3
adjensen	0
adkcub	0
adkstorm	3
adliissa	3
admake	0
admrgd	3
adnilttirrem	0
adob12250	3
adobo	0
adonna	3
adriamargaret	3
adriancjones	0
adriangomez	0
adriennecash	0
adrio	0
adryan110200	0
adschachter	3
adventureman73	0
advertisement2	0
advisor02	0
advocat-insane	2
advocate46	0
adx200	3
aeantiques	3
aechl	3
aeify	0
aeires	3
aenflex	0
aerdna481	0
aerichardson	0
aero4	3
aerostar2	3
aesposito	0
aeubank	0
aeval415	2
aew2002	3
aewmac	3
affentheater	3
affir1033	3
affolder	3
